key,key:booking,key:passenger
booking-record-00,booking-00,passenger-01
booking-record-01,booking-01,passenger-01
booking-record-02,booking-02,passenger-02
booking-record-03,booking-03,passenger-03
booking-record-04,booking-04,passenger-04
booking-record-05,booking-05,passenger-05
booking-record-06,booking-06,passenger-01
booking-record-07,booking-07,passenger-02
booking-record-08,booking-08,passenger-03
booking-record-09,booking-09,passenger-04
booking-record-10,booking-10,passenger-05
booking-record-11,booking-11,passenger-01
booking-record-12,booking-12,passenger-02
booking-record-13,booking-13,passenger-03
booking-record-14,booking-14,passenger-04
booking-record-15,booking-15,passenger-11
booking-record-16,booking-16,passenger-12
booking-record-17,booking-17,passenger-13
booking-record-18,booking-18,passenger-14
booking-record-19,booking-19,passenger-15
booking-record-20,booking-20,passenger-11
booking-record-21,booking-21,passenger-12
booking-record-22,booking-22,passenger-32
booking-record-23,booking-23,passenger-33
booking-record-24,booking-24,passenger-34
booking-record-25,booking-25,passenger-13
# customer-03 booking-record data
booking-record-26,booking-26,passenger-48
booking-record-27,booking-27,passenger-49
booking-record-28,booking-28,passenger-51
booking-record-29,booking-29,passenger-51
booking-record-30,booking-30,passenger-49
booking-record-31,booking-31,passenger-53
booking-record-32,booking-32,passenger-53
